timestep 0: time 0, solution norm 23.6853, max 0.999996, min 0
timestep 64: time 0.64, solution norm 0.690833, max 0.120468, min -0.119602
timestep 65: time 0.65, solution norm 0.678815, max 0.119327, min -0.117239
timestep 66: time 0.66, solution norm 0.668946, max 0.11689, min -0.116269
timestep 67: time 0.67, solution norm 0.657688, max 0.115791, min -0.113989
timestep 68: time 0.68, solution norm 0.648272, max 0.113457, min -0.113033
timestep 69: time 0.69, solution norm 0.637675, max 0.112396, min -0.110834
timestep 70: time 0.7, solution norm 0.62866, max 0.110159, min -0.109892
timestep 71: time 0.71, solution norm 0.618699, max 0.109134, min -0.107772
timestep 72: time 0.72, solution norm 0.609987, max 0.106986, min -0.106846
timestep 73: time 0.73, solution norm 0.600804, max 0.105994, min -0.1048
timestep 74: time 0.74, solution norm 0.592229, max 0.103932, min -0.103892
timestep 75: time 0.75, solution norm 0.583723, max 0.102971, min -0.101917
timestep 76: time 0.76, solution norm 0.575372, max 0.100988, min -0.101027
timestep 77: time 0.77, solution norm 0.56729, max 0.100057, min -0.0991212
timestep 78: time 0.78, solution norm 0.559141, max 0.0981488, min -0.0982495
timestep 79: time 0.79, solution norm 0.551674, max 0.097245, min -0.0964099
timestep 80: time 0.8, solution norm 0.543763, max 0.0954084, min -0.095557
timestep 81: time 0.81, solution norm 0.536543, max 0.0945309, min -0.0937808
timestep 82: time 0.82, solution norm 0.528929, max 0.0927616, min -0.0929469
timestep 83: time 0.83, solution norm 0.521871, max 0.0919091, min -0.0912315
timestep 84: time 0.84, solution norm 0.514531, max 0.0902037, min -0.0904165
timestep 85: time 0.85, solution norm 0.507853, max 0.0893751, min -0.0887595
timestep 86: time 0.86, solution norm 0.500941, max 0.0877304, min -0.0879633
timestep 87: time 0.87, solution norm 0.495141, max 0.0869247, min -0.0863624
timestep 88: time 0.88, solution norm 0.489297, max 0.0853378, min -0.0855848
timestep 89: time 0.89, solution norm 0.483624, max 0.084554, min -0.0840377
timestep 90: time 0.9, solution norm 0.477872, max 0.0830222, min -0.0832786
timestep 91: time 0.91, solution norm 0.472392, max 0.0822595, min -0.0817832
timestep 92: time 0.92, solution norm 0.466837, max 0.0807802, min -0.0810422
timestep 93: time 0.93, solution norm 0.461459, max 0.0800378, min -0.0795964
timestep 94: time 0.94, solution norm 0.456031, max 0.0786088, min -0.0788733
timestep 95: time 0.95, solution norm 0.450823, max 0.0778859, min -0.0774751
timestep 96: time 0.96, solution norm 0.445552, max 0.0765049, min -0.0767695
timestep 97: time 0.97, solution norm 0.440488, max 0.0758008, min -0.0754171
timestep 98: time 0.98, solution norm 0.435333, max 0.0744658, min -0.0747286
timestep 99: time 0.99, solution norm 0.430324, max 0.07378, min -0.0734202
timestep 100: time 1, solution norm 0.425275, max 0.0724889, min -0.0727486
