lambda: 2.777778 mu: 4.166667
    3 KSP Residual norm 0.0971919
    4 KSP Residual norm 0.0430935
    5 KSP Residual norm 0.014615
    6 KSP Residual norm 0.00582237
    0 KSP Residual norm 0.118962
    1 KSP Residual norm 0.00502174
    2 KSP Residual norm 0.000834981
    3 KSP Residual norm 0.000204038
    4 KSP Residual norm 8.77091e-05
    5 KSP Residual norm 5.4016e-05
    6 KSP Residual norm 2.0009e-05
    7 KSP Residual norm 6.61307e-06
 13 SNES Function norm 0.00595925
    0 KSP Residual norm 69.2967
    1 KSP Residual norm 1.25972
    2 KSP Residual norm 0.226916
    3 KSP Residual norm 0.0995951
    4 KSP Residual norm 0.0483283
    5 KSP Residual norm 0.016237
    6 KSP Residual norm 0.00711429
    7 KSP Residual norm 0.00226561
    0 KSP Residual norm 0.0282573
    1 KSP Residual norm 0.00170348
    2 KSP Residual norm 0.000262557
    3 KSP Residual norm 3.7869e-05
    4 KSP Residual norm 1.62116e-05
    5 KSP Residual norm 6.73682e-06
    6 KSP Residual norm 2.87648e-06
    7 KSP Residual norm 8.05203e-07
 14 SNES Function norm 0.000343096
    0 KSP Residual norm 69.3443
    1 KSP Residual norm 1.23639
    2 KSP Residual norm 0.263199
    3 KSP Residual norm 0.100369
    4 KSP Residual norm 0.0487211
    5 KSP Residual norm 0.0163359
    6 KSP Residual norm 0.00746033
    7 KSP Residual norm 0.0024142
    0 KSP Residual norm 0.0014944
    1 KSP Residual norm 0.000101604
    2 KSP Residual norm 1.54432e-05
    3 KSP Residual norm 2.2598e-06
    4 KSP Residual norm 9.62778e-07
    5 KSP Residual norm 3.74758e-07
    6 KSP Residual norm 1.68536e-07
    7 KSP Residual norm 5.40217e-08
 15 SNES Function norm 9.73125e-07
    0 KSP Residual norm 69.3469
    1 KSP Residual norm 1.23525
    2 KSP Residual norm 0.265589
    3 KSP Residual norm 0.100412
    4 KSP Residual norm 0.0487227
    5 KSP Residual norm 0.0163372
    6 KSP Residual norm 0.00747896
    7 KSP Residual norm 0.00242225
    0 KSP Residual norm 4.27393e-06
    1 KSP Residual norm 2.94104e-07
    2 KSP Residual norm 4.77774e-08
    3 KSP Residual norm 1.15048e-08
    4 KSP Residual norm 6.97574e-09
    5 KSP Residual norm 3.00682e-09
    6 KSP Residual norm 1.24674e-09
    7 KSP Residual norm 6.445e-10
    8 KSP Residual norm 4.358e-10
    9 KSP Residual norm 1.350e-10
 16 SNES Function norm 4.498e-10
 16 SNES Function norm 1.38611
    0 KSP Residual norm 69.3469
    1 KSP Residual norm 1.23524
    2 KSP Residual norm 0.265596
    3 KSP Residual norm 0.100412
    4 KSP Residual norm 0.0487227
    5 KSP Residual norm 0.0163372
    6 KSP Residual norm 0.00747901
    7 KSP Residual norm 0.00242227
 17 SNES Function norm 3.59803
    0 KSP Residual norm 52.347
    1 KSP Residual norm 1.08733
    2 KSP Residual norm 0.122422
    3 KSP Residual norm 0.0192097
    4 KSP Residual norm 0.0132426
    5 KSP Residual norm 0.00889387
    6 KSP Residual norm 0.00775981
    7 KSP Residual norm 0.00724913
    8 KSP Residual norm 0.005215
    0 KSP Residual norm 2.9695
    1 KSP Residual norm 0.369925
    2 KSP Residual norm 0.0305478
    3 KSP Residual norm 0.0234301
    4 KSP Residual norm 0.0196495
    5 KSP Residual norm 0.0129653
    6 KSP Residual norm 0.0129622
    7 KSP Residual norm 0.00790463
    8 KSP Residual norm 0.00133663
    9 KSP Residual norm 0.000329434
   10 KSP Residual norm 9.56071e-05
 18 SNES Function norm 0.729914
    0 KSP Residual norm 54.1563
    1 KSP Residual norm 1.05298
    2 KSP Residual norm 0.177829
    3 KSP Residual norm 0.0306015
    4 KSP Residual norm 0.0248831
    5 KSP Residual norm 0.0204652
    6 KSP Residual norm 0.00747933
    7 KSP Residual norm 0.0030326
    0 KSP Residual norm 0.177552
    1 KSP Residual norm 0.0717537
    2 KSP Residual norm 0.00910659
    3 KSP Residual norm 0.00606295
    4 KSP Residual norm 0.00261688
    5 KSP Residual norm 0.0012102
    6 KSP Residual norm 0.000463996
    7 KSP Residual norm 0.000134206
    8 KSP Residual norm 3.24063e-05
    9 KSP Residual norm 8.88833e-06
 19 SNES Function norm 0.096127
    0 KSP Residual norm 54.2847
    1 KSP Residual norm 0.804965
    2 KSP Residual norm 0.266196
    3 KSP Residual norm 0.0506987
    4 KSP Residual norm 0.0349857
    5 KSP Residual norm 0.0196238
    6 KSP Residual norm 0.00615541
    7 KSP Residual norm 0.00282935
    0 KSP Residual norm 0.0504165
    1 KSP Residual norm 0.0057707
    2 KSP Residual norm 0.000656762
    3 KSP Residual norm 0.000432349
    4 KSP Residual norm 0.000201237
    5 KSP Residual norm 6.58854e-05
    6 KSP Residual norm 3.36537e-05
    7 KSP Residual norm 7.77027e-06
    8 KSP Residual norm 3.16564e-06
 20 SNES Function norm 0.00404796
    0 KSP Residual norm 54.315
    1 KSP Residual norm 0.782765
    2 KSP Residual norm 0.341957
    3 KSP Residual norm 0.0584297
    4 KSP Residual norm 0.0369469
    5 KSP Residual norm 0.0189984
    6 KSP Residual norm 0.00613753
    7 KSP Residual norm 0.00295329
    0 KSP Residual norm 0.00387529
    1 KSP Residual norm 0.00024607
    2 KSP Residual norm 0.000202176
    3 KSP Residual norm 3.25773e-05
    4 KSP Residual norm 1.26013e-05
    5 KSP Residual norm 5.36759e-06
    6 KSP Residual norm 2.85574e-06
    7 KSP Residual norm 8.39932e-07
    8 KSP Residual norm 1.58663e-07
 21 SNES Function norm 1.50351e-05
    0 KSP Residual norm 54.316
    1 KSP Residual norm 0.784305
    2 KSP Residual norm 0.347644
    3 KSP Residual norm 0.0588626
    4 KSP Residual norm 0.0370307
    5 KSP Residual norm 0.0189847
    6 KSP Residual norm 0.00614975
    7 KSP Residual norm 0.00296585
    0 KSP Residual norm 3.48303e-05
    1 KSP Residual norm 2.79832e-06
    2 KSP Residual norm 2.06504e-06
    3 KSP Residual norm 1.55557e-07
    4 KSP Residual norm 9.25386e-08
    5 KSP Residual norm 4.62461e-08
    6 KSP Residual norm 1.36705e-08
    7 KSP Residual norm 8.20186e-09
    8 KSP Residual norm 3.44687e-09
 22 SNES Function norm 6.14948e-09
 22 SNES Function norm 1.38611
    0 KSP Residual norm 54.316
    1 KSP Residual norm 0.784314
    2 KSP Residual norm 0.347674
    3 KSP Residual norm 0.0588647
    4 KSP Residual norm 0.0370311
    5 KSP Residual norm 0.0189847
    6 KSP Residual norm 0.00614987
    7 KSP Residual norm 0.00296593
 23 SNES Function norm 5.4794e-07
    0 KSP Residual norm 54.3132
    1 KSP Residual norm 0.784286
    2 KSP Residual norm 0.347673
    3 KSP Residual norm 0.0588599
    4 KSP Residual norm 0.037029
    5 KSP Residual norm 0.0189847
    6 KSP Residual norm 0.00615022
    7 KSP Residual norm 0.00296599
    0 KSP Residual norm 2.85846e-07
    1 KSP Residual norm 2.08747e-07
    2 KSP Residual norm 1.55048e-07
    3 KSP Residual norm 1.01053e-07
    4 KSP Residual norm 3.22159e-08
    5 KSP Residual norm 1.61789e-08
    6 KSP Residual norm 3.3309e-09
    7 KSP Residual norm 9.681e-10
    8 KSP Residual norm 2.845e-10
    9 KSP Residual norm 8.949e-11
   10 KSP Residual norm 2.074e-11
 24 SNES Function norm 5.836e-11
Number of SNES iterations = 24
