Solving ODE "hull1972a3" with dt 0.010000, final time 5.000000 and system size 1.
      TSAdapt glee glee 0:35 step   0 accepted t=0          + 1.000e-02 dt=1.000e-01  wlte=1.44e-06  wltea=2.89e-06 wlter=2.86e-06
      TSAdapt glee glee 0:35 step   1 accepted t=0.01       + 1.000e-01 dt=2.296e-01  wlte=0.0112  wltea=0.0236 wlter=0.0212
      TSAdapt glee glee 0:35 step   2 accepted t=0.11       + 2.296e-01 dt=3.604e-01  wlte=0.0451  wltea=0.108 wlter=0.0774
      TSAdapt glee glee 0:35 step   3 rejected t=0.33956    + 3.604e-01 dt=1.899e-01  wlte= 2.93  wltea= 8.52 wlter= 4.47
      TSAdapt glee glee 0:35 step   3 accepted t=0.33956    + 1.899e-01 dt=2.195e-01  wlte=0.138  wltea=0.367 wlter=0.222
      TSAdapt glee glee 0:35 step   4 rejected t=0.529423   + 2.195e-01 dt=1.604e-01  wlte=0.773  wltea=  2.3 wlter= 1.16
      TSAdapt glee glee 0:35 step   4 accepted t=0.529423   + 1.604e-01 dt=1.473e-01  wlte=0.319  wltea=0.923 wlter=0.488
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 7.612e-04 dt=6.850e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 6.850e-04 dt=6.164e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 6.164e-04 dt=5.547e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 5.547e-04 dt=4.992e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.992e-04 dt=4.492e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.492e-04 dt=4.043e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 4.043e-04 dt=3.638e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.638e-04 dt=3.274e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 3.274e-04 dt=2.947e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.947e-04 dt=2.652e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.652e-04 dt=2.387e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.387e-04 dt=2.148e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 2.148e-04 dt=1.933e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.933e-04 dt=1.740e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.740e-04 dt=1.566e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.566e-04 dt=1.409e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.409e-04 dt=1.268e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.268e-04 dt=1.142e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 rejected t=0.761409   + 1.142e-04 dt=1.027e-04  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   6 accepted t=0.761409   + 1.027e-04 dt=9.246e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 9.246e-05 dt=8.322e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 8.322e-05 dt=7.489e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 7.489e-05 dt=6.740e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 6.740e-05 dt=6.066e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 6.066e-05 dt=5.459e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 5.459e-05 dt=4.913e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 4.913e-05 dt=4.422e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 4.422e-05 dt=3.980e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.980e-05 dt=3.582e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.582e-05 dt=3.224e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.224e-05 dt=2.901e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 2.901e-05 dt=2.611e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 2.611e-05 dt=2.350e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 2.350e-05 dt=2.115e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 2.115e-05 dt=1.903e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.903e-05 dt=1.713e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.713e-05 dt=1.542e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.542e-05 dt=1.388e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.388e-05 dt=1.249e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.249e-05 dt=1.124e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.124e-05 dt=1.012e-05  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 1.012e-05 dt=9.104e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 9.104e-06 dt=8.194e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 8.194e-06 dt=7.374e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 7.374e-06 dt=6.637e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 6.637e-06 dt=5.973e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 5.973e-06 dt=5.376e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 5.376e-06 dt=4.838e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 4.838e-06 dt=4.354e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 4.354e-06 dt=3.919e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.919e-06 dt=3.527e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.527e-06 dt=3.174e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 rejected t=0.761512   + 3.174e-06 dt=2.857e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   7 accepted t=0.761512   + 2.857e-06 dt=2.571e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.571e-06 dt=2.314e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.314e-06 dt=2.083e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.083e-06 dt=1.874e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.874e-06 dt=1.687e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.687e-06 dt=1.518e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.518e-06 dt=1.366e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.366e-06 dt=1.230e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.230e-06 dt=1.107e-06  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.107e-06 dt=9.962e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 9.962e-07 dt=8.965e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 8.965e-07 dt=8.069e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 8.069e-07 dt=7.262e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 7.262e-07 dt=6.536e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 6.536e-07 dt=5.882e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 5.882e-07 dt=5.294e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 5.294e-07 dt=4.765e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 4.765e-07 dt=4.288e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 4.288e-07 dt=3.859e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 3.859e-07 dt=3.473e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 3.473e-07 dt=3.126e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 3.126e-07 dt=2.813e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.813e-07 dt=2.532e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.532e-07 dt=2.279e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.279e-07 dt=2.051e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 2.051e-07 dt=1.846e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.846e-07 dt=1.661e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 rejected t=0.761515   + 1.661e-07 dt=1.495e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   8 accepted t=0.761515   + 1.495e-07 dt=1.346e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.346e-07 dt=1.211e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.211e-07 dt=1.090e-07  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.090e-07 dt=9.810e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 9.810e-08 dt=8.829e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 8.829e-08 dt=7.946e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 7.946e-08 dt=7.151e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 7.151e-08 dt=6.436e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 6.436e-08 dt=5.793e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 5.793e-08 dt=5.213e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 5.213e-08 dt=4.692e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 4.692e-08 dt=4.223e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 4.223e-08 dt=3.801e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 3.801e-08 dt=3.421e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 3.421e-08 dt=3.078e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 3.078e-08 dt=2.771e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 2.771e-08 dt=2.494e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 2.494e-08 dt=2.244e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 2.244e-08 dt=2.020e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 2.020e-08 dt=1.818e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.818e-08 dt=1.636e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.636e-08 dt=1.472e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.472e-08 dt=1.325e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.325e-08 dt=1.193e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.193e-08 dt=1.073e-08  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 1.073e-08 dt=9.661e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 9.661e-09 dt=8.694e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 rejected t=0.761515   + 8.694e-09 dt=7.825e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step   9 accepted t=0.761515   + 7.825e-09 dt=7.043e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 7.043e-09 dt=6.338e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 6.338e-09 dt=5.704e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 5.704e-09 dt=5.134e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 5.134e-09 dt=4.621e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 4.621e-09 dt=4.159e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 4.159e-09 dt=3.743e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 3.743e-09 dt=3.368e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 3.368e-09 dt=3.032e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 3.032e-09 dt=2.728e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 2.728e-09 dt=2.456e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 2.456e-09 dt=2.210e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 2.210e-09 dt=1.989e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.989e-09 dt=1.790e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.790e-09 dt=1.611e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.611e-09 dt=1.450e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.450e-09 dt=1.305e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.305e-09 dt=1.174e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.174e-09 dt=1.057e-09  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 1.057e-09 dt=9.513e-10  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 9.513e-10 dt=8.562e-10  wlte=0.334  wltea=    1 wlter=0.502
      TSAdapt glee glee 0:35 step  10 rejected t=0.761515   + 8.562e-10 dt=7.706e-10  wlte=0.334  wltea=    1 wlter=0.502
